ward_id,method,year,cumulative_exhaustion,percentage_christian,pct_over_65,pct_women,pct_married_or_widowed,pct_uni_educated,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked,pct_unemployed,electorate,turnout,k/n
S13002523,0,2022.0,22.78,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,7.0,3.0,2477.0,3.1805,0.4544,0.0165,4867.0,0.5089,0.4286
S13002523,0,2022.0,22.78,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,5.0,1.0,2013.0,2.2807,0.4561,0.0165,4867.0,0.4136,0.2
S13002523,1,2022.0,8.420000000000002,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,7.0,3.0,2477.0,3.1805,0.4544,0.0165,4867.0,0.5089,0.4286
S13002523,1,2022.0,8.420000000000002,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,5.0,1.0,2013.0,2.2807,0.4561,0.0165,4867.0,0.4136,0.2
S13002523,2,2022.0,49.07,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,7.0,3.0,2477.0,3.1805,0.4544,0.0165,4867.0,0.5089,0.4286
S13002523,2,2022.0,49.07,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,5.0,1.0,2013.0,2.2807,0.4561,0.0165,4867.0,0.4136,0.2
S13002523,3,2022.0,78.38,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,7.0,3.0,2477.0,3.1805,0.4544,0.0165,4867.0,0.5089,0.4286
S13002523,1,2017.0,7.8999999999999995,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,5.0,1.0,2013.0,2.2807,0.4561,0.0165,5307.0,0.3793,0.2
S13002523,0,2017.0,20.04,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,5.0,1.0,2013.0,2.2807,0.4561,0.0165,5307.0,0.3793,0.2
S13002523,2,2017.0,36.54,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,7.0,3.0,2477.0,3.1805,0.4544,0.0165,5307.0,0.4667,0.4286
S13002523,2,2017.0,36.54,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,5.0,1.0,2013.0,2.2807,0.4561,0.0165,5307.0,0.3793,0.2
S13002523,3,2017.0,77.31,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,5.0,1.0,2013.0,2.2807,0.4561,0.0165,5307.0,0.3793,0.2
S13002523,3,2017.0,77.31,0.4389,0.336243822,0.015199999999999991,0.5588,0.2721,7.0,3.0,2477.0,3.1805,0.4544,0.0165,5307.0,0.4667,0.4286
S13002524,0,2022.0,18.009999999999998,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,7.0,3.0,3365.0,3.1064,0.4438,0.0135,6243.0,0.539,0.4286
