ward_code,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked
S13002874,9.0,4.0,5049.0,3.5102,0.39
S13002868,5.0,3.0,3933.0,2.7963,0.5593
S13002869,8.0,4.0,5421.0,3.4962,0.437
S13002826,7.0,4.0,6136.0,3.2531,0.4647
S13002827,8.0,4.0,7413.0,3.3292,0.4161
S13002825,8.0,3.0,5072.0,3.2504,0.4063
S13002824,6.0,1.0,4445.0,2.542,0.4237
S13002820,6.0,3.0,7117.0,2.9424,0.4904
S13002821,9.0,4.0,6853.0,3.4354,0.3817
S13002823,7.0,1.0,5616.0,2.6654,0.3808
S13002822,8.0,4.0,7229.0,3.4017,0.4252
S13002828,7.0,3.0,5256.0,3.0592,0.437
S13002936,6.0,3.0,5399.0,2.9841,0.4973
S13002937,6.0,3.0,5604.0,2.9222,0.487
S13002944,7.0,3.0,5628.0,3.1041,0.4434
S13002941,6.0,4.0,6492.0,3.1583,0.5264
S13002940,6.0,3.0,5628.0,2.944,0.4907
S13002942,4.0,3.0,6210.0,2.3915,0.5979
S13002943,8.0,3.0,5405.0,2.9956,0.3744
S13002939,7.0,4.0,7067.0,3.1735,0.4534
S13002938,10.0,4.0,6321.0,3.6176,0.3618
S13002887,5.0,4.0,5326.0,2.7249,0.545
S13002886,5.0,3.0,3972.0,2.5619,0.5124
S13002890,7.0,4.0,5741.0,3.0894,0.4413
S13002884,5.0,3.0,4070.0,2.6319,0.5264
S13002885,5.0,4.0,3950.0,2.7349,0.547
S13002891,7.0,3.0,4108.0,3.0066,0.4295
S13002881,5.0,4.0,4962.0,2.6092,0.5218
S13002880,8.0,4.0,5270.0,2.9537,0.3692
S13002882,7.0,3.0,4478.0,3.1521,0.4503
S13002883,8.0,3.0,4033.0,3.3536,0.4192
S13002888,7.0,4.0,5007.0,3.1264,0.4466
S13002889,6.0,4.0,5104.0,2.9671,0.4945
S13003084,5.0,4.0,5609.0,2.852,0.5704
S13003085,5.0,3.0,6565.0,2.7823,0.5565
S13003078,11.0,4.0,4779.0,3.629,0.3299
S13003086,6.0,4.0,5945.0,2.9847,0.4974
S13003079,7.0,3.0,3829.0,3.3609,0.4801
S13003082,6.0,4.0,5563.0,3.0419,0.507
S13003083,8.0,4.0,5821.0,3.5465,0.4433
S13003081,7.0,4.0,5264.0,3.2109,0.4587
S13003080,9.0,3.0,4080.0,3.4002,0.3778
S13003076,5.0,3.0,3761.0,2.9147,0.5829
S13003153,7.0,4.0,1344.0,4.0543,0.5792
S13003156,8.0,2.0,758.0,3.3997,0.425
S13003154,6.0,4.0,1414.0,3.3656,0.5609
S13002777,5.0,3.0,928.0,3.1034,0.6207
S13002773,4.0,3.0,1192.0,2.8163,0.7041
S13002737,8.0,3.0,1075.0,3.5321,0.4415
S13003145,7.0,3.0,4736.0,2.8875,0.4125
S13003032,7.0,4.0,4505.0,3.0193,0.4313
S13003033,6.0,3.0,3985.0,2.9476,0.4913
S13003034,7.0,4.0,5754.0,3.1524,0.4503
S13003041,7.0,3.0,3357.0,2.955,0.4221
S13002547,9.0,4.0,5471.0,3.5653,0.3961
S13003149,7.0,3.0,4169.0,2.9513,0.4216
S13003148,6.0,4.0,7252.0,2.8016,0.4669
S13002851,10.0,4.0,4657.0,3.4801,0.348
S13002850,7.0,4.0,4703.0,2.98,0.4257
S13002852,8.0,4.0,4200.0,3.1148,0.3893
S13002853,4.0,3.0,3395.0,2.3599,0.59
S13002857,8.0,3.0,4237.0,3.2537,0.4067
S13002856,5.0,1.0,3972.0,2.4668,0.4934
S13002854,6.0,4.0,4515.0,3.0334,0.5056
S13002855,6.0,4.0,5046.0,3.1371,0.5229
S13002864,9.0,4.0,5477.0,3.562,0.3958
S13002858,5.0,1.0,3445.0,2.3475,0.4695
S13002859,5.0,1.0,2725.0,2.5002,0.5
S13002865,8.0,4.0,5559.0,3.5902,0.4488
